,Unnamed: 0,schedule,fcj,csv,total_difference,worst_manoeuvre,worst_elm,worst_elm_difference,whiten,scaling,dtw_dist,heading,speed,exponent
0,0,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000002.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000002_whi_measure.csv,117.19799999999984,9,36,11.639999999999986,True,measure,6257.566750213565,4.976409576067688,6.3052809800327445,0.1959761264959709
1,1,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000002.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000002_raw_measure.csv,117.40299999999984,9,36,11.599999999999994,False,measure,2582.5759221864446,4.976409576067688,6.3052809800327445,0.1959761264959709
2,2,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000002.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000002_whi_global.csv,110.512,9,36,11.599999999999994,True,global,6099.801709482181,4.976409576067688,6.3052809800327445,0.1959761264959709
3,3,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000002.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000002_raw_global.csv,109.12399999999988,9,36,11.47999999999999,False,global,2730.749364283351,4.976409576067688,6.3052809800327445,0.1959761264959709
4,4,P21,manual_F3A_P21_21_08_19_00000215.json,manual_F3A_P21_21_08_19_00000215_whi_measure.csv,19.802000000000056,aV,140,5.720000000000027,True,measure,6869.599919243896,2.579561076657805,6.07568022517505,0.0274833810482071
5,5,P21,manual_F3A_P21_21_08_19_00000215.json,manual_F3A_P21_21_08_19_00000215_raw_measure.csv,21.51800000000005,aV,140,7.720000000000027,False,measure,2993.9612989335374,2.579561076657805,6.07568022517505,0.0274833810482071
6,6,P21,manual_F3A_P21_21_08_19_00000215.json,manual_F3A_P21_21_08_19_00000215_whi_global.csv,12.560999999999815,rollC,89,1.8799999999999957,True,global,6645.799606223288,2.579561076657805,6.07568022517505,0.0274833810482071
7,7,P21,manual_F3A_P21_21_08_19_00000215.json,manual_F3A_P21_21_08_19_00000215_raw_global.csv,9.517999999999873,hB,83,1.521000000000015,False,global,2868.0117026868625,2.579561076657805,6.07568022517505,0.0274833810482071
8,8,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000006.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000006_whi_measure.csv,151.8750000000003,com,118,15.319000000000017,True,measure,6407.167566760495,5.57214810180447,11.92490406074172,0.2750912808054964
9,9,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000006.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000006_raw_measure.csv,152.99600000000024,com,118,15.159000000000049,False,measure,2856.2616134293216,5.57214810180447,11.92490406074172,0.2750912808054964
10,10,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000006.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000006_whi_global.csv,144.5150000000003,com,118,15.119000000000028,True,global,6306.015538302597,5.57214810180447,11.92490406074172,0.2750912808054964
11,11,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000006.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000006_raw_global.csv,145.63400000000044,com,118,14.519000000000004,False,global,3043.616758709388,5.57214810180447,11.92490406074172,0.2750912808054964
12,12,P23,manual_F3A_P23_21_10_23_00000117.json,manual_F3A_P23_21_10_23_00000117_whi_measure.csv,43.39499999999995,loop,157,7.918999999999983,True,measure,9418.120663209513,3.693884433707428,11.37909539763204,0.1409082973640733
13,13,P23,manual_F3A_P23_21_10_23_00000117.json,manual_F3A_P23_21_10_23_00000117_raw_measure.csv,63.480999999999895,shark,156,10.71799999999996,False,measure,3497.0545066506184,3.693884433707428,11.37909539763204,0.1409082973640733
14,14,P23,manual_F3A_P23_21_10_23_00000117.json,manual_F3A_P23_21_10_23_00000117_whi_global.csv,17.68100000000007,imm,66,2.4809999999999945,True,global,9510.166730802204,3.693884433707428,11.37909539763204,0.1409082973640733
15,15,P23,manual_F3A_P23_21_10_23_00000117.json,manual_F3A_P23_21_10_23_00000117_raw_global.csv,14.12100000000008,imm,66,2.4809999999999945,False,global,3650.6673356761735,3.693884433707428,11.37909539763204,0.1409082973640733
16,16,P23,manual_F3A_P23_21_11_02_00000137.json,manual_F3A_P23_21_11_02_00000137_whi_measure.csv,27.18999999999981,loop,157,5.360000000000014,True,measure,6976.235045118565,3.1093524950807625,2.27045040207536,-0.0954447782448925
17,17,P23,manual_F3A_P23_21_11_02_00000137.json,manual_F3A_P23_21_11_02_00000137_raw_measure.csv,29.35599999999998,loop,160,5.639999999999986,False,measure,2626.62511616772,3.1093524950807625,2.27045040207536,-0.0954447782448925
18,18,P23,manual_F3A_P23_21_11_02_00000137.json,manual_F3A_P23_21_11_02_00000137_whi_global.csv,11.148999999999958,figM,104,2.7590000000000146,True,global,6555.811164723729,3.1093524950807625,2.27045040207536,-0.0954447782448925
19,19,P23,manual_F3A_P23_21_11_02_00000137.json,manual_F3A_P23_21_11_02_00000137_raw_global.csv,11.360999999999976,figM,104,2.7590000000000146,False,global,2424.511360177152,3.1093524950807625,2.27045040207536,-0.0954447782448925
20,20,P21,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403.json,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403_whi_measure.csv,58.99200000000016,dImm,68,8.320999999999998,True,measure,9300.500764070812,4.892350895475527,1.499028296608754,0.1422806022997647
21,21,P21,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403.json,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403_raw_measure.csv,59.11400000000015,dImm,68,8.320999999999998,False,measure,3399.739151798898,4.892350895475527,1.499028296608754,0.1422806022997647
22,22,P21,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403.json,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403_whi_global.csv,55.60400000000025,com,114,6.398000000000025,True,global,9102.075018952954,4.892350895475527,1.499028296608754,0.1422806022997647
23,23,P21,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403.json,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403_raw_global.csv,34.5640000000001,aV,137,4.401999999999987,False,global,3261.5463064292667,4.892350895475527,1.499028296608754,0.1422806022997647
24,24,F21,manual_F3A_F21_21_09_01_00000015.json,manual_F3A_F21_21_09_01_00000015_whi_measure.csv,28.638000000000236,loop,122,10.0,True,measure,8257.985424714429,3.338630117486264,9.004102847959782,0.153781344236263
25,25,F21,manual_F3A_F21_21_09_01_00000015.json,manual_F3A_F21_21_09_01_00000015_raw_measure.csv,368.7150000000004,square,164,27.360000000000014,False,measure,4543.059768736784,3.338630117486264,9.004102847959782,0.153781344236263
26,26,F21,manual_F3A_F21_21_09_01_00000015.json,manual_F3A_F21_21_09_01_00000015_whi_global.csv,14.31400000000012,fTurn,138,1.2399999999999525,True,global,8052.858440772556,3.338630117486264,9.004102847959782,0.153781344236263
27,27,F21,manual_F3A_F21_21_09_01_00000015.json,manual_F3A_F21_21_09_01_00000015_raw_global.csv,210.2700000000002,square,165,20.119000000000028,False,global,4143.854681809418,3.338630117486264,9.004102847959782,0.153781344236263
28,28,P23,manual_F3A_P23_21_11_02_00000134.json,manual_F3A_P23_21_11_02_00000134_whi_measure.csv,21.40900000000001,loop,157,6.600000000000023,True,measure,7752.342206426874,2.768411413333399,2.0880988720461278,0.2081122198353637
29,29,P23,manual_F3A_P23_21_11_02_00000134.json,manual_F3A_P23_21_11_02_00000134_raw_measure.csv,23.80500000000004,loop,157,6.600000000000023,False,measure,3004.312702299824,2.768411413333399,2.0880988720461278,0.2081122198353637
30,30,P23,manual_F3A_P23_21_11_02_00000134.json,manual_F3A_P23_21_11_02_00000134_whi_global.csv,11.566999999999972,Et,84,2.5600000000000023,True,global,7449.811624129658,2.768411413333399,2.0880988720461278,0.2081122198353637
31,31,P23,manual_F3A_P23_21_11_02_00000134.json,manual_F3A_P23_21_11_02_00000134_raw_global.csv,9.404999999999973,Et,84,2.5999999999999943,False,global,2784.6673113629586,2.768411413333399,2.0880988720461278,0.2081122198353637
32,32,P23,manual_F3A_P23_21_10_10_00000098.json,manual_F3A_P23_21_10_10_00000098_whi_measure.csv,43.69099999999983,imm,66,7.280000000000001,True,measure,7070.02690514051,4.241109926767911,2.8811552424775835,0.2041772353867141
33,33,P23,manual_F3A_P23_21_10_10_00000098.json,manual_F3A_P23_21_10_10_00000098_raw_measure.csv,37.84899999999986,imm,66,6.438999999999993,False,measure,2648.1167702082807,4.241109926767911,2.8811552424775835,0.2041772353867141
34,34,P23,manual_F3A_P23_21_10_10_00000098.json,manual_F3A_P23_21_10_10_00000098_whi_global.csv,19.124000000000024,rc,59,2.3589999999999804,True,global,6712.0222867963,4.241109926767911,2.8811552424775835,0.2041772353867141
35,35,P23,manual_F3A_P23_21_10_10_00000098.json,manual_F3A_P23_21_10_10_00000098_raw_global.csv,14.728000000000064,rc,59,2.3589999999999804,False,global,2419.0621062904447,4.241109926767911,2.8811552424775835,0.2041772353867141
36,36,F21,manual_F3A_F21_21_09_01_00000018.json,manual_F3A_F21_21_09_01_00000018_whi_measure.csv,28.646000000000043,loop,122,8.721000000000004,True,measure,8623.534214991036,3.304467543239949,9.375948437556971,0.1607260459720057
37,37,F21,manual_F3A_F21_21_09_01_00000018.json,manual_F3A_F21_21_09_01_00000018_raw_measure.csv,241.84799999999987,square,165,16.80000000000001,False,measure,4331.428020893158,3.304467543239949,9.375948437556971,0.1607260459720057
38,38,F21,manual_F3A_F21_21_09_01_00000018.json,manual_F3A_F21_21_09_01_00000018_whi_global.csv,16.3199999999999,fTurn,138,1.5600000000000025,True,global,8424.083143946344,3.304467543239949,9.375948437556971,0.1607260459720057
39,39,F21,manual_F3A_F21_21_09_01_00000018.json,manual_F3A_F21_21_09_01_00000018_raw_global.csv,191.926,square,165,16.80000000000001,False,global,4234.55711830524,3.304467543239949,9.375948437556971,0.1607260459720057
40,40,P23,manual_F3A_P23_21_10_17_00000102.json,manual_F3A_P23_21_10_17_00000102_whi_measure.csv,85.52999999999996,loop,160,25.35999999999996,True,measure,8049.636343242165,3.4756641219627133,-7.336372354063471,0.4098042867241566
41,41,P23,manual_F3A_P23_21_10_17_00000102.json,manual_F3A_P23_21_10_17_00000102_raw_measure.csv,27.686999999999912,loop,157,5.680999999999983,False,measure,3075.424490137176,3.4756641219627133,-7.336372354063471,0.4098042867241566
42,42,P23,manual_F3A_P23_21_10_17_00000102.json,manual_F3A_P23_21_10_17_00000102_whi_global.csv,76.16200000000023,loop,160,23.87899999999996,True,global,8217.753827980083,3.4756641219627133,-7.336372354063471,0.4098042867241566
43,43,P23,manual_F3A_P23_21_10_17_00000102.json,manual_F3A_P23_21_10_17_00000102_raw_global.csv,75.1660000000001,loop,160,23.87899999999996,False,global,3158.2833843569933,3.4756641219627133,-7.336372354063471,0.4098042867241566
44,44,P23,manual_F3A_P23_21_10_17_00000105.json,manual_F3A_P23_21_10_17_00000105_whi_measure.csv,39.80400000000013,loop,157,7.640000000000043,True,measure,7563.355485652019,6.294261174600109,5.992512680518647,-0.0569766219590405
45,45,P23,manual_F3A_P23_21_10_17_00000105.json,manual_F3A_P23_21_10_17_00000105_raw_measure.csv,39.472,loop,157,7.640000000000043,False,measure,2960.1853693446774,6.294261174600109,5.992512680518647,-0.0569766219590405
46,46,P23,manual_F3A_P23_21_10_17_00000105.json,manual_F3A_P23_21_10_17_00000105_whi_global.csv,16.843000000000274,Et,84,1.920000000000016,True,global,7728.307858801247,6.294261174600109,5.992512680518647,-0.0569766219590405
47,47,P23,manual_F3A_P23_21_10_17_00000105.json,manual_F3A_P23_21_10_17_00000105_raw_global.csv,14.836999999999982,Et,84,1.8780000000000143,False,global,2942.245213495078,6.294261174600109,5.992512680518647,-0.0569766219590405
48,48,P21,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000273.json,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000273_whi_measure.csv,21.18999999999985,aV,140,4.760999999999967,True,measure,7666.4741014509555,4.653384389927792,1.5103213331028358,2.1524606163244497
49,49,P21,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000273.json,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000273_raw_measure.csv,18.455999999999904,aV,140,4.760999999999967,False,measure,2952.409569682045,4.653384389927792,1.5103213331028358,2.1524606163244497
50,50,P21,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000273.json,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000273_whi_global.csv,14.429999999999836,aV,140,3.2800000000000296,True,global,7678.064977847955,4.653384389927792,1.5103213331028358,2.1524606163244497
51,51,P21,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000273.json,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000273_raw_global.csv,8.576999999999785,9,36,1.0749999999999886,False,global,3017.126530801884,4.653384389927792,1.5103213331028358,2.1524606163244497
52,52,F21,manual_F3A_F21_21_09_15_00000051.json,manual_F3A_F21_21_09_15_00000051_whi_measure.csv,25.082000000000008,loop,122,6.838000000000022,True,measure,7296.116305457927,3.021545388344708,2.1884638071735942,-0.199360179940386
53,53,F21,manual_F3A_F21_21_09_15_00000051.json,manual_F3A_F21_21_09_15_00000051_raw_measure.csv,54.12200000000009,loop,122,15.799000000000037,False,measure,3391.029088444559,3.021545388344708,2.1884638071735942,-0.199360179940386
54,54,F21,manual_F3A_F21_21_09_15_00000051.json,manual_F3A_F21_21_09_15_00000051_whi_global.csv,19.077999999999854,9,69,4.240000000000009,True,global,6607.139821553488,3.021545388344708,2.1884638071735942,-0.199360179940386
55,55,F21,manual_F3A_F21_21_09_15_00000051.json,manual_F3A_F21_21_09_15_00000051_raw_global.csv,12.076999999999783,9,69,4.240000000000009,False,global,2794.0329196870684,3.021545388344708,2.1884638071735942,-0.199360179940386
56,56,P21,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000460.json,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000460_whi_measure.csv,27.284999999999847,aV,140,7.08099999999996,True,measure,8870.040389027552,2.1352303272607345,0.3101816648250841,-0.2275999570319918
57,57,P21,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000460.json,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000460_raw_measure.csv,30.13099999999993,aV,140,7.199999999999989,False,measure,3662.221525317725,2.1352303272607345,0.3101816648250841,-0.2275999570319918
58,58,P21,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000460.json,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000460_whi_global.csv,19.64399999999989,com,108,2.1200000000000045,True,global,8877.525311917308,2.1352303272607345,0.3101816648250841,-0.2275999570319918
59,59,P21,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000460.json,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000460_raw_global.csv,13.90899999999985,com,108,2.079999999999984,False,global,3634.756713999511,2.1352303272607345,0.3101816648250841,-0.2275999570319918
60,60,P23,manual_F3A_P23_21_10_23_00000115.json,manual_F3A_P23_21_10_23_00000115_whi_measure.csv,33.234000000000194,loop,157,8.158999999999992,True,measure,8338.674863299379,3.6770107438445168,9.290213180851438,0.1734721516426604
61,61,P23,manual_F3A_P23_21_10_23_00000115.json,manual_F3A_P23_21_10_23_00000115_raw_measure.csv,43.83100000000006,loop,157,8.158999999999992,False,measure,3179.5690309566444,3.6770107438445168,9.290213180851438,0.1734721516426604
62,62,P23,manual_F3A_P23_21_10_23_00000115.json,manual_F3A_P23_21_10_23_00000115_whi_global.csv,20.48700000000006,loop,159,2.6000000000000227,True,global,8333.331506639479,3.6770107438445168,9.290213180851438,0.1734721516426604
63,63,P23,manual_F3A_P23_21_10_23_00000115.json,manual_F3A_P23_21_10_23_00000115_raw_global.csv,14.401999999999894,fight,117,2.3999999999999773,False,global,3157.9248628967684,3.6770107438445168,9.290213180851438,0.1734721516426604
64,64,P23,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000026.json,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000026_whi_measure.csv,34.772999999999946,loop,160,6.399000000000001,True,measure,7729.957407886704,4.601390386717899,5.029098720568146,0.0852832746657033
65,65,P23,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000026.json,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000026_raw_measure.csv,33.85199999999975,loop,157,6.840000000000032,False,measure,3524.312126229394,4.601390386717899,5.029098720568146,0.0852832746657033
66,66,P23,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000026.json,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000026_whi_global.csv,24.314000000000057,imm,66,2.4399999999999977,True,global,7407.205147986935,4.601390386717899,5.029098720568146,0.0852832746657033
67,67,P23,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000026.json,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000026_raw_global.csv,18.12700000000005,imm,66,2.4399999999999977,False,global,3538.3468062949937,4.601390386717899,5.029098720568146,0.0852832746657033
68,68,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000004.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000004_whi_measure.csv,65.12800000000024,sFin,56,8.681000000000012,True,measure,6654.326199420103,5.067384432787026,3.718025509173623,0.1787426069905687
69,69,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000004.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000004_raw_measure.csv,66.1240000000003,sFin,56,8.681000000000012,False,measure,2751.322273279948,5.067384432787026,3.718025509173623,0.1787426069905687
70,70,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000004.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000004_whi_global.csv,97.8550000000001,aV,140,25.400000000000038,True,global,6947.324144775719,5.067384432787026,3.718025509173623,0.1787426069905687
71,71,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000004.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000004_raw_global.csv,55.57400000000004,sFin,56,8.681000000000012,False,global,2662.9446381303587,5.067384432787026,3.718025509173623,0.1787426069905687
72,72,F21,manual_F3A_F21_21_09_16_00000059.json,manual_F3A_F21_21_09_16_00000059_whi_measure.csv,23.47899999999987,loop,122,4.399000000000001,True,measure,7252.768936496138,3.0576848985900096,5.29674122036181,0.1041224433832454
73,73,F21,manual_F3A_F21_21_09_16_00000059.json,manual_F3A_F21_21_09_16_00000059_raw_measure.csv,63.04899999999982,circle,25,17.359999999999985,False,measure,3634.391503627767,3.0576848985900096,5.29674122036181,0.1041224433832454
74,74,F21,manual_F3A_F21_21_09_16_00000059.json,manual_F3A_F21_21_09_16_00000059_whi_global.csv,22.87600000000009,v8,53,4.159999999999997,True,global,6680.9145534679255,3.0576848985900096,5.29674122036181,0.1041224433832454
75,75,F21,manual_F3A_F21_21_09_16_00000059.json,manual_F3A_F21_21_09_16_00000059_raw_global.csv,17.64400000000002,v8,53,4.159999999999997,False,global,2919.326573973882,3.0576848985900096,5.29674122036181,0.1041224433832454
76,76,F23,manual_F3A_F23_21_09_23_00000077.json,manual_F3A_F23_21_09_23_00000077_whi_measure.csv,63.23800000000027,loop,3,10.0,True,measure,8569.465043211256,3.0878181018976605,10.589775071066976,0.2902619297829837
77,77,F23,manual_F3A_F23_21_09_23_00000077.json,manual_F3A_F23_21_09_23_00000077_raw_measure.csv,86.88200000000036,h8,77,13.760999999999996,False,measure,4800.7248160583,3.0878181018976605,10.589775071066976,0.2902619297829837
78,78,F23,manual_F3A_F23_21_09_23_00000077.json,manual_F3A_F23_21_09_23_00000077_whi_global.csv,38.08000000000007,av,180,8.480000000000018,True,global,8438.798114791713,3.0878181018976605,10.589775071066976,0.2902619297829837
